0.34986, -0.0147599, 0.319646
0.350265, -0.0147736, 0.319723
0.350658, -0.0147063, 0.319709
0.350811, -0.0146887, 0.319576
0.350819, -0.014526, 0.31936
0.350938, -0.0146388, 0.319377
0.351104, -0.0144216, 0.319463
0.351552, -0.0141407, 0.319817
0.351706, -0.0139994, 0.319978
0.351153, -0.0134443, 0.320053
0.351337, -0.0138522, 0.320019
0.351953, -0.0138875, 0.31983
0.35239, -0.0140153, 0.31967
0.352899, -0.0141337, 0.319505
0.35347, -0.0137459, 0.319724
0.358399, -0.0101866, 0.322895
0.371309, 0.00131353, 0.334069
0.390391, 0.0261096, 0.35461
0.410209, 0.0643537, 0.379294
0.420331, 0.114936, 0.397846
0.420566, 0.174456, 0.408682
0.407332, 0.234891, 0.409119
0.391542, 0.279927, 0.397743
0.381104, 0.304573, 0.379891
0.375254, 0.314831, 0.358551
0.372951, 0.318737, 0.342934
0.370242, 0.319696, 0.333482
0.367419, 0.318374, 0.325434
0.367278, 0.31818, 0.323523
0.367406, 0.315895, 0.320584
0.368157, 0.312269, 0.316452
0.367431, 0.311999, 0.314204
0.365633, 0.312758, 0.314233
0.365488, 0.313157, 0.315143
0.363226, 0.314931, 0.320413
0.362306, 0.314098, 0.334321
0.363079, 0.308627, 0.355065
0.365128, 0.299468, 0.37842
0.369903, 0.286434, 0.404598
0.379222, 0.268148, 0.435037
0.388392, 0.242206, 0.472289
0.399565, 0.207692, 0.505841
0.413646, 0.165083, 0.536973
0.429771, 0.1198, 0.564075
0.451576, 0.0778147, 0.585345
0.479514, 0.0476811, 0.602734
0.511902, 0.0241836, 0.611814
0.542759, 0.00802098, 0.611601
0.566177, -0.00266036, 0.604283
0.574046, -0.00289458, 0.598626
0.576522, -0.000618452, 0.595965
0.580629, -0.00279067, 0.591729
0.581394, -0.00520713, 0.588576
0.582057, -0.00699321, 0.587584
0.584479, -0.00798508, 0.587189
0.586179, -0.0089008, 0.587576
0.586727, -0.00972398, 0.587898
0.587133, -0.00985011, 0.588676
0.587108, -0.0100316, 0.588298
0.58708, -0.00992787, 0.588917
0.586563, -0.00966433, 0.590416
0.583833, -0.0119791, 0.591627
0.577051, -0.0112571, 0.591524
0.560227, -0.00390159, 0.600024
0.530966, 0.0172846, 0.617007
0.501423, 0.0467024, 0.621865
0.476052, 0.0894945, 0.604286
0.458303, 0.136634, 0.572823
0.447293, 0.187997, 0.530464
0.438307, 0.234418, 0.479284
0.43703, 0.269943, 0.420997
0.442797, 0.292814, 0.370728
0.44973, 0.298353, 0.33634
0.452017, 0.297688, 0.320123
0.450735, 0.297492, 0.314953
0.448944, 0.29538, 0.311161
0.443949, 0.295626, 0.309464
0.443838, 0.297035, 0.310279
0.442033, 0.297631, 0.310724
0.441721, 0.297245, 0.310704
0.440852, 0.298405, 0.309569
0.439574, 0.299033, 0.311886
0.436538, 0.299648, 0.326488
0.431799, 0.291936, 0.362569
0.429208, 0.27229, 0.409176
0.43235, 0.239924, 0.461448
0.441887, 0.202338, 0.513809
0.451202, 0.163454, 0.557108
0.466268, 0.12907, 0.5929
0.479909, 0.103301, 0.617003
0.495209, 0.0855253, 0.627318
0.513631, 0.0740093, 0.624871
0.529158, 0.0701926, 0.611356
0.541337, 0.0638983, 0.601453
0.551463, 0.057416, 0.594284
0.555729, 0.0576866, 0.589226
0.558372, 0.056695, 0.58664
0.562937, 0.0545339, 0.582706
0.567323, 0.0508592, 0.579965
0.570292, 0.0478427, 0.580315
0.571481, 0.0473229, 0.580734
0.570551, 0.047283, 0.580987
0.571916, 0.0426501, 0.582904
0.572354, 0.0411871, 0.584245
0.572125, 0.0410275, 0.584248
0.571786, 0.0408983, 0.583962
0.571895, 0.0404349, 0.583993
0.572254, 0.0401059, 0.584511
0.571381, 0.0399652, 0.585395
0.564173, 0.0399761, 0.588843
0.538308, 0.0398723, 0.59789
0.499608, 0.0338977, 0.603281
0.463743, 0.0232867, 0.591158
0.437142, 0.00651649, 0.553562
0.417922, -0.0165199, 0.496688
0.399081, -0.047816, 0.431596
0.384466, -0.0717466, 0.378974
0.378987, -0.0840878, 0.343954
0.373035, -0.0850184, 0.321014
0.370153, -0.08333, 0.307944
0.368169, -0.0805238, 0.299569
0.370181, -0.0783069, 0.297185
0.371964, -0.0776521, 0.297101
0.372831, -0.076508, 0.296687
0.372555, -0.0762399, 0.297027
0.372288, -0.0762657, 0.297446
0.372315, -0.0760702, 0.297569
