0.296041, -0.0643295, 0.372915
0.296144, -0.0642605, 0.37298
0.296166, -0.0642105, 0.373012
0.296249, -0.064172, 0.372942
0.296401, -0.064095, 0.372866
0.296525, -0.0640505, 0.372814
0.296623, -0.064013, 0.372805
0.296733, -0.06398, 0.372866
0.296835, -0.0639845, 0.372928
0.29688, -0.063961, 0.372964
0.296898, -0.063912, 0.372977
0.296911, -0.0639235, 0.372972
0.296957, -0.06393, 0.372944
0.296952, -0.0639585, 0.372925
0.296983, -0.063978, 0.372901
0.297017, -0.063992, 0.372882
0.297045, -0.0640035, 0.372878
0.297074, -0.064034, 0.372877
0.29703, -0.064041, 0.372893
0.296947, -0.0639885, 0.372953
0.296874, -0.0639515, 0.372995
0.29681, -0.0639555, 0.37302
0.296799, -0.0639265, 0.37304
0.296815, -0.0639005, 0.373056
0.296862, -0.0638535, 0.373118
0.296902, -0.0638755, 0.373082
0.297173, -0.0639485, 0.372951
0.297596, -0.064183, 0.372768
0.297876, -0.064555, 0.372882
0.298186, -0.06477, 0.373479
0.298747, -0.0651195, 0.374886
0.300749, -0.0643665, 0.377992
0.303327, -0.0621635, 0.382208
0.305997, -0.0583775, 0.387295
0.309041, -0.051275, 0.393628
0.311356, -0.0409525, 0.400889
0.312009, -0.027808, 0.407961
0.310795, -0.012573, 0.414113
0.308088, 0.0041815, 0.419229
0.303647, 0.0206305, 0.422403
0.297067, 0.036387, 0.42327
0.289814, 0.0506635, 0.422149
0.282079, 0.0628035, 0.419141
0.274174, 0.072438, 0.414266
0.267344, 0.079416, 0.408344
0.262207, 0.083812, 0.402935
0.259086, 0.087485, 0.398571
0.257204, 0.0906155, 0.394821
0.255101, 0.090851, 0.390264
0.253832, 0.090983, 0.38613
0.25279, 0.0907955, 0.38252
0.251935, 0.0903705, 0.379868
0.251907, 0.089214, 0.377608
0.252223, 0.0876045, 0.375566
0.252542, 0.0863255, 0.373945
0.252898, 0.0857725, 0.372945
0.252919, 0.085993, 0.372424
0.252948, 0.0864735, 0.37208
0.252909, 0.0867775, 0.371895
0.252842, 0.086914, 0.371734
0.252909, 0.08682, 0.371544
0.253027, 0.086843, 0.371441
0.25313, 0.0870415, 0.37128
0.253159, 0.087215, 0.371052
0.253181, 0.087214, 0.370756
0.253228, 0.086991, 0.370583
