Format Version,1.2,Take Name,dir_front_or_right_dx_lin,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-03-26 10.44.09.911 AM,Total Frames,3286,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,arm_EE,arm_EE,arm_EE,arm_elbow,arm_elbow,arm_elbow,arm_hand,arm_hand,arm_hand,arm_shoulder,arm_shoulder,arm_shoulder,arm_finger,arm_finger,arm_finger,Marker_213,Marker_213,Marker_213,Marker_214,Marker_214,Marker_214
,,"8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3570D5","8392B20CF49E3570D5","8392B20CF49E3570D5","8392B20CF49E3570D6","8392B20CF49E3570D6","8392B20CF49E3570D6"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.570566,-0.083893,0.035460,0.184711,-0.122793,0.021754,0.431623,-0.080133,0.047913,0.149649,0.212521,-0.021411,0.535330,-0.096500,0.076359,,,,,,
1,0.016667,0.570912,-0.084381,0.035624,0.185132,-0.123450,0.021652,0.432038,-0.080738,0.048019,0.149736,0.211895,-0.020462,0.535707,-0.097191,0.076439,,,,,,
2,0.033333,0.571499,-0.084614,0.035529,0.185792,-0.124061,0.021540,0.432640,-0.081165,0.047975,0.149865,0.211220,-0.019418,0.536299,-0.097676,0.076338,,,,,,
3,0.050000,0.572314,-0.084564,0.035402,0.186769,-0.124583,0.021454,0.433522,-0.081476,0.047764,0.149976,0.210634,-0.018531,0.537183,-0.097881,0.076147,,,,,,
4,0.066667,0.573400,-0.084266,0.035034,0.188045,-0.125034,0.021282,0.434660,-0.081540,0.047378,0.150160,0.210069,-0.017556,0.538314,-0.097806,0.075735,,,,,,
5,0.083333,0.574737,-0.083744,0.034388,0.189577,-0.125374,0.021071,0.436076,-0.081246,0.046817,0.150370,0.209561,-0.016720,0.539760,-0.097438,0.075037,,,,,,
6,0.100000,0.576278,-0.082903,0.033518,0.191377,-0.125617,0.020820,0.437663,-0.080697,0.046006,0.150695,0.209133,-0.015924,0.541363,-0.096670,0.074175,,,,,,
7,0.116667,0.577951,-0.081860,0.032389,0.193373,-0.125693,0.020595,0.439442,-0.079899,0.045070,0.151084,0.208795,-0.015225,0.543199,-0.095624,0.073148,,,,,,
8,0.133333,0.579808,-0.080578,0.031005,0.195467,-0.125643,0.020356,0.441337,-0.078931,0.043955,0.151556,0.208572,-0.014563,0.545173,-0.094418,0.071759,,,,,,
9,0.150000,0.581721,-0.079158,0.029411,0.197651,-0.125490,0.020163,0.443304,-0.077905,0.042788,0.152033,0.208434,-0.013913,0.547315,-0.093169,0.070246,,,,,,
10,0.166667,0.583555,-0.077643,0.027670,0.199802,-0.125297,0.019972,0.445181,-0.076906,0.041504,0.152594,0.208351,-0.013346,0.549305,-0.091866,0.068588,,,,,,
11,0.183333,0.585320,-0.076129,0.025979,0.201049,-0.125593,0.017327,0.446974,-0.075900,0.040227,0.153215,0.208318,-0.012816,0.551247,-0.090591,0.066959,,,,,,
12,0.200000,0.586983,-0.074686,0.024245,0.202837,-0.125441,0.016744,0.448642,-0.074880,0.038882,0.153757,0.208313,-0.012371,0.553081,-0.089341,0.065301,,,,,,
13,0.216667,0.588416,-0.073301,0.022544,0.204486,-0.125319,0.016200,0.450118,-0.073911,0.037593,0.154325,0.208326,-0.011874,0.554641,-0.088102,0.063695,,,,,,
14,0.233333,0.589597,-0.071959,0.020921,0.205899,-0.125238,0.015662,0.451343,-0.072940,0.036325,0.154797,0.208332,-0.011413,0.555982,-0.086866,0.062065,,,,,,
15,0.250000,0.590588,-0.070824,0.019273,0.207013,-0.125210,0.015161,0.452386,-0.071976,0.035073,0.155266,0.208335,-0.010946,0.557127,-0.085681,0.060529,,,,,,
16,0.266667,0.591251,-0.069858,0.017758,0.207900,-0.125150,0.014713,0.453157,-0.071080,0.033874,0.155633,0.208349,-0.010475,0.557918,-0.084630,0.059081,,,,,,
17,0.283333,0.591669,-0.069089,0.016322,0.208514,-0.125171,0.014243,0.453647,-0.070394,0.032734,0.155946,0.208371,-0.010046,0.558473,-0.083733,0.057789,,,,,,
18,0.300000,0.591891,-0.068507,0.015004,0.208881,-0.125218,0.013865,0.453967,-0.069862,0.031687,0.156170,0.208393,-0.009543,0.558809,-0.083056,0.056559,,,,,,
19,0.316667,0.591969,-0.068049,0.013734,0.209025,-0.125312,0.013495,0.454099,-0.069540,0.030817,0.156265,0.208389,-0.009098,0.558988,-0.082666,0.055348,,,,,,
20,0.333333,0.591883,-0.067749,0.012623,0.209008,-0.125408,0.013226,0.454071,-0.069393,0.029947,0.156287,0.208354,-0.008677,0.559067,-0.082453,0.054274,,,,,,
