Format Version,1.2,Take Name,dir_bottom_or_front_dx_lin,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-03-26 10.21.13.868 AM,Total Frames,3995,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,arm_finger,arm_finger,arm_finger,arm_hand,arm_hand,arm_hand,arm_shoulder,arm_shoulder,arm_shoulder,arm_elbow,arm_elbow,arm_elbow,arm_EE,arm_EE,arm_EE,Marker_115,Marker_115,Marker_115,Marker_117,Marker_117,Marker_117,Marker_123,Marker_123,Marker_123
,,"8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E357073","8392B20CF49E357073","8392B20CF49E357073","8392B20CF49E357075","8392B20CF49E357075","8392B20CF49E357075","8392B20CF49E35707B","8392B20CF49E35707B","8392B20CF49E35707B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.521074,-0.293820,0.057953,0.457451,-0.199981,0.043012,0.091142,0.207744,0.114150,0.230758,-0.064716,0.184348,0.480991,-0.340770,0.048604,,,,,,,,,
1,0.016667,0.522318,-0.293299,0.058740,0.458652,-0.199485,0.043840,0.091453,0.207453,0.114051,0.230788,-0.065163,0.184146,0.482369,-0.340251,0.048984,,,,,,,,,
2,0.033333,0.523260,-0.292667,0.059379,0.459483,-0.198930,0.044500,0.091727,0.207262,0.113680,0.230497,-0.065694,0.183871,0.483473,-0.339629,0.049118,,,,,,,,,
3,0.050000,0.523970,-0.291979,0.059825,0.459985,-0.198353,0.045027,0.092019,0.207140,0.112953,0.229954,-0.066194,0.183565,0.484312,-0.339031,0.049179,,,,,,,,,
4,0.066667,0.524366,-0.291194,0.060163,0.460139,-0.197741,0.045398,0.092317,0.207108,0.112058,0.229119,-0.066704,0.183239,0.484866,-0.338337,0.049204,,,,,,,,,
5,0.083333,0.524507,-0.290368,0.060404,0.459963,-0.197146,0.045628,0.092663,0.207134,0.110952,0.228084,-0.067233,0.182886,0.485161,-0.337669,0.049158,,,,,,,,,
6,0.100000,0.524474,-0.289557,0.060539,0.459499,-0.196589,0.045735,0.093015,0.207225,0.109699,0.226398,-0.067933,0.181513,0.485267,-0.337038,0.049084,,,,,,,,,
7,0.116667,0.524215,-0.288886,0.060637,0.458921,-0.196169,0.045824,0.093364,0.207373,0.108358,0.225775,-0.068066,0.182142,0.485147,-0.336493,0.048948,,,,,,,,,
8,0.133333,0.523807,-0.288380,0.060695,0.458258,-0.195841,0.045875,0.093761,0.207576,0.106895,0.224563,-0.068391,0.181674,0.484779,-0.336125,0.048938,,,,,,,,,
9,0.150000,0.523287,-0.288055,0.060809,0.457582,-0.195603,0.045970,0.094313,0.207873,0.105386,0.222760,-0.068904,0.180125,0.484257,-0.335858,0.048904,,,,,,,,,
10,0.166667,0.522713,-0.287888,0.060882,0.456940,-0.195492,0.046107,0.094952,0.208232,0.103771,0.221690,-0.069090,0.179628,0.483682,-0.335711,0.048828,,,,,,,,,
11,0.183333,0.522083,-0.287894,0.061049,0.456362,-0.195457,0.046213,0.095701,0.208643,0.102151,0.220725,-0.069240,0.179148,0.483100,-0.335682,0.048781,,,,,,,,,
12,0.200000,0.521546,-0.287999,0.061155,0.455922,-0.195492,0.046247,0.096602,0.209030,0.100509,0.219928,-0.069342,0.178708,0.482521,-0.335742,0.048779,,,,,,,,,
13,0.216667,0.521062,-0.288150,0.061230,0.455562,-0.195580,0.046261,0.097588,0.209403,0.098970,0.219317,-0.069420,0.178300,0.482030,-0.335841,0.048793,,,,,,,,,
14,0.233333,0.520722,-0.288297,0.061288,0.455295,-0.195685,0.046206,0.098629,0.209753,0.097446,0.218896,-0.069446,0.177922,0.481654,-0.335985,0.048978,,,,,,,,,
15,0.250000,0.520533,-0.288411,0.061410,0.455143,-0.195781,0.046151,0.099707,0.210104,0.096030,0.218595,-0.069424,0.177536,0.481426,-0.336113,0.049252,,,,,,,,,
16,0.266667,0.520502,-0.288424,0.061637,0.455095,-0.195835,0.046202,0.100831,0.210443,0.094806,0.218377,-0.069424,0.177186,0.481406,-0.336171,0.049621,,,,,,,,,
17,0.283333,0.520636,-0.288323,0.062033,0.455149,-0.195839,0.046400,0.102022,0.210794,0.093715,0.218264,-0.069471,0.176922,0.481619,-0.336151,0.050130,,,,,,,,,
18,0.300000,0.520920,-0.288242,0.062577,0.455338,-0.195837,0.046703,0.103188,0.211135,0.092768,0.218215,-0.069522,0.176629,0.481998,-0.336095,0.050653,,,,,,,,,
