Format Version,1.2,Take Name,dir_right_or_bottom_sx_lin,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-03-26 10.50.33.316 AM,Total Frames,1821,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,arm_elbow,arm_elbow,arm_elbow,arm_EE,arm_EE,arm_EE,arm_hand,arm_hand,arm_hand,arm_shoulder,arm_shoulder,arm_shoulder,arm_finger,arm_finger,arm_finger,Marker_380,Marker_380,Marker_380,Marker_381,Marker_381,Marker_381,Marker_382,Marker_382,Marker_382,Marker_383,Marker_383,Marker_383,Marker_384,Marker_384,Marker_384,Marker_385,Marker_385,Marker_385,Marker_389,Marker_389,Marker_389,Marker_391,Marker_391,Marker_391,Marker_393,Marker_393,Marker_393
,,"8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E357017C","8392B20CF49E357017C","8392B20CF49E357017C","8392B20CF49E357017D","8392B20CF49E357017D","8392B20CF49E357017D","8392B20CF49E357017E","8392B20CF49E357017E","8392B20CF49E357017E","8392B20CF49E357017F","8392B20CF49E357017F","8392B20CF49E357017F","8392B20CF49E3570180","8392B20CF49E3570180","8392B20CF49E3570180","8392B20CF49E3570181","8392B20CF49E3570181","8392B20CF49E3570181","8392B20CF49E3570185","8392B20CF49E3570185","8392B20CF49E3570185","8392B20CF49E3570187","8392B20CF49E3570187","8392B20CF49E3570187","8392B20CF49E3570189","8392B20CF49E3570189","8392B20CF49E3570189"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.230178,-0.091359,-0.320982,0.287416,-0.308851,0.021850,0.335506,-0.315125,-0.111342,0.153305,0.168890,-0.187846,0.290273,-0.355846,-0.013554,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.016667,0.231521,-0.092621,-0.316733,0.287499,-0.308724,0.027378,0.335962,-0.315429,-0.105657,0.153569,0.169075,-0.187445,0.290452,-0.355807,-0.007850,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.033333,0.232793,-0.093973,-0.312201,0.287659,-0.308652,0.033161,0.336406,-0.315854,-0.099684,0.153834,0.169322,-0.186965,0.290662,-0.355774,-0.001906,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.050000,0.234022,-0.095280,-0.307293,0.287947,-0.308775,0.039237,0.336815,-0.316268,-0.093576,0.154097,0.169567,-0.186434,0.290974,-0.355997,0.004329,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.066667,0.235167,-0.096595,-0.302082,0.288260,-0.309198,0.045550,0.337243,-0.316649,-0.087316,0.154325,0.169802,-0.185946,0.291434,-0.356400,0.010608,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.083333,0.236246,-0.097947,-0.296569,0.288502,-0.309783,0.051979,0.337720,-0.317166,-0.080758,0.154564,0.170023,-0.185352,0.291864,-0.356981,0.017058,,,,,,,,,,,,,,,,,,,,,,,,,,,
