Format Version,1.2,Take Name,dir_top_or_front_dx_lin,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-03-26 10.34.46.547 AM,Total Frames,4346,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,arm_EE,arm_EE,arm_EE,arm_elbow,arm_elbow,arm_elbow,arm_shoulder,arm_shoulder,arm_shoulder,arm_finger,arm_finger,arm_finger,arm_hand,arm_hand,arm_hand,Marker_128,Marker_128,Marker_128,Marker_129,Marker_129,Marker_129,Marker_133,Marker_133,Marker_133,Marker_134,Marker_134,Marker_134,Marker_135,Marker_135,Marker_135
,,"8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E357080","8392B20CF49E357080","8392B20CF49E357080","8392B20CF49E357081","8392B20CF49E357081","8392B20CF49E357081","8392B20CF49E357085","8392B20CF49E357085","8392B20CF49E357085","8392B20CF49E357086","8392B20CF49E357086","8392B20CF49E357086","8392B20CF49E357087","8392B20CF49E357087","8392B20CF49E357087"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.560941,-0.190149,0.054900,0.217404,-0.163705,0.058365,0.203435,0.179530,0.073121,0.594608,-0.246329,0.050144,,,,,,,,,,,,,,,,,,
1,0.016667,0.561034,-0.190083,0.054130,0.217232,-0.163886,0.058426,0.202541,0.179192,0.074515,0.594652,-0.246306,0.049298,,,,,,,,,,,,,,,,,,
2,0.033333,0.561072,-0.190247,0.053521,0.217047,-0.164045,0.058501,0.201790,0.178950,0.075854,0.594587,-0.246508,0.048559,,,,,,,,,,,,,,,,,,
3,0.050000,0.561086,-0.190634,0.053055,0.216911,-0.164114,0.058544,0.201209,0.178771,0.077089,0.594484,-0.246958,0.047798,,,,,,,,,,,,,,,,,,
4,0.066667,0.561068,-0.191165,0.052668,0.216764,-0.164174,0.058508,0.200695,0.178629,0.078179,0.594357,-0.247528,0.047111,,,,,,,,,,,,,,,,,,
5,0.083333,0.561035,-0.191843,0.052404,0.216650,-0.164256,0.058495,0.200356,0.178426,0.079246,0.594202,-0.248238,0.046388,,,,,,,,,,,,,,,,,,
