Format Version,1.2,Take Name,dir_left_or_front_dx_lin,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-03-26 10.28.19.511 AM,Total Frames,3525,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,arm_finger,arm_finger,arm_finger,arm_hand,arm_hand,arm_hand,arm_EE,arm_EE,arm_EE,arm_shoulder,arm_shoulder,arm_shoulder,arm_elbow,arm_elbow,arm_elbow,Marker_105,Marker_105,Marker_105,Marker_139,Marker_139,Marker_139
,,"8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E35708B","8392B20CF49E35708B","8392B20CF49E35708B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.449446,-0.237114,-0.097914,0.373441,-0.198157,-0.021208,0.418576,-0.246217,-0.148264,0.147356,0.193216,0.033949,0.230653,-0.104925,0.164097,,,,,,
1,0.016667,0.448833,-0.242969,-0.096620,0.372697,-0.203214,-0.020391,0.417583,-0.251779,-0.147606,0.149182,0.191933,0.034443,0.230221,-0.107590,0.163551,,,,,,
2,0.033333,0.447950,-0.248637,-0.095787,0.371865,-0.208037,-0.019940,0.417069,-0.258094,-0.146113,0.150815,0.190727,0.034980,0.229756,-0.110169,0.162845,,,,,,
3,0.050000,0.446718,-0.254073,-0.095280,0.370891,-0.212682,-0.019661,0.415790,-0.263787,-0.145590,0.152181,0.189586,0.035516,0.229254,-0.112562,0.162049,,,,,,
4,0.066667,0.445237,-0.259154,-0.094968,0.369659,-0.217065,-0.019530,0.413665,-0.268681,-0.145773,0.153383,0.188524,0.035876,0.228651,-0.114813,0.161245,,,,,,
5,0.083333,0.443452,-0.263861,-0.094900,0.368231,-0.221136,-0.019526,0.412158,-0.273992,-0.145043,0.154439,0.187530,0.036295,0.227943,-0.117014,0.160442,,,,,,
6,0.100000,0.441396,-0.268078,-0.095094,0.366528,-0.224791,-0.019810,0.409437,-0.278021,-0.145774,0.155456,0.186565,0.036771,0.227076,-0.119054,0.159760,,,,,,
7,0.116667,0.439117,-0.271835,-0.095532,0.364636,-0.227998,-0.020230,0.406913,-0.281937,-0.146082,0.156379,0.185717,0.037223,0.226124,-0.120977,0.159122,,,,,,
8,0.133333,0.436645,-0.275170,-0.096111,0.362587,-0.230930,-0.020752,0.404174,-0.285361,-0.146561,0.157177,0.184923,0.037707,0.225126,-0.122788,0.158553,,,,,,
9,0.150000,0.434050,-0.278205,-0.096888,0.360449,-0.233630,-0.021309,0.401311,-0.288250,-0.147231,0.157848,0.184246,0.038214,0.224113,-0.124440,0.158038,,,,,,
10,0.166667,0.431382,-0.280964,-0.097753,0.358320,-0.236129,-0.021916,0.398365,-0.290660,-0.148033,0.158416,0.183545,0.038588,0.223054,-0.125944,0.157600,,,,,,
11,0.183333,0.428768,-0.284012,-0.098703,0.356263,-0.238386,-0.022453,0.395384,-0.292596,-0.148985,0.158938,0.182933,0.038900,0.221951,-0.127359,0.157172,,,,,,
12,0.200000,0.426182,-0.286158,-0.099791,0.354277,-0.240388,-0.023069,0.392503,-0.294129,-0.149926,0.160206,0.183344,0.040787,0.220735,-0.128698,0.156770,,,,,,
13,0.216667,0.423728,-0.287894,-0.100811,0.352360,-0.242048,-0.023615,0.389794,-0.295319,-0.150808,0.159850,0.181700,0.039278,0.219334,-0.130019,0.156316,,,,,,
14,0.233333,0.421458,-0.289333,-0.101861,0.350652,-0.243528,-0.024094,0.387334,-0.296316,-0.151564,0.160150,0.181216,0.039414,0.217792,-0.131279,0.155786,,,,,,
15,0.250000,0.419385,-0.290691,-0.102826,0.349171,-0.244907,-0.024528,0.385124,-0.297321,-0.152364,0.161124,0.181923,0.041382,0.216221,-0.132441,0.155216,,,,,,
16,0.266667,0.417614,-0.291896,-0.103570,0.347839,-0.246183,-0.024885,0.383275,-0.298219,-0.152871,0.161199,0.181540,0.041537,0.214721,-0.133470,0.154690,,,,,,
17,0.283333,0.416156,-0.292936,-0.104025,0.346586,-0.247293,-0.025105,0.381846,-0.298819,-0.153280,0.161213,0.181156,0.041636,0.213324,-0.134495,0.154218,,,,,,
18,0.300000,0.414959,-0.293618,-0.104268,0.345414,-0.248091,-0.025279,0.380705,-0.299137,-0.153586,0.161218,0.180767,0.041623,0.211978,-0.135377,0.153833,,,,,,
19,0.316667,0.413896,-0.293843,-0.104661,0.344416,-0.248543,-0.025532,0.379634,-0.299080,-0.153967,0.161723,0.180131,0.041411,0.210588,-0.136142,0.153508,,,,,,
