Format Version,1.2,Take Name,Test_4_sx,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2025-02-27 02.30.37.659 PM,Total Frames,17747,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,
,,arm_elbow,arm_elbow,arm_elbow,arm_shoulder,arm_shoulder,arm_shoulder,arm_finger,arm_finger,arm_finger,arm_hand,arm_hand,arm_hand,arm_EE,arm_EE,arm_EE,
,,8392B20CF49E357145CE0C9500000003,8392B20CF49E357145CE0C9500000003,8392B20CF49E357145CE0C9500000003,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000000,8392B20CF49E357145CE0C9500000000,8392B20CF49E357145CE0C9500000000,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
30,0.25,0.013467,0.2897,0.055699,-0.081801,0.564065,0.171767,0.342535,0.290946,0.286308,0.280153,0.361866,0.243595,0.319201,0.242487,0.308197,
31,0.258333,0.013235,0.289451,0.055504,-0.081645,0.563914,0.171703,0.342543,0.290558,0.285831,0.280103,0.361414,0.243142,0.319279,0.242144,0.307796,
32,0.266667,0.013015,0.289202,0.055304,-0.081487,0.563762,0.17163,0.342556,0.290178,0.285363,0.280062,0.360967,0.242688,0.319357,0.241808,0.307396,
33,0.275,0.012808,0.288955,0.055101,-0.081329,0.563608,0.171549,0.342575,0.289807,0.284897,0.280026,0.360531,0.242236,0.319439,0.241483,0.306998,
34,0.283333,0.012612,0.288711,0.054896,-0.081168,0.563452,0.17146,0.342601,0.289448,0.284429,0.279992,0.360107,0.241794,0.319528,0.241173,0.306603,
35,0.291667,0.012427,0.288471,0.054692,-0.081006,0.563296,0.171367,0.342634,0.289104,0.283962,0.279958,0.3597,0.241365,0.319628,0.240879,0.30621,
36,0.3,0.012251,0.288236,0.054491,-0.080843,0.56314,0.171272,0.342671,0.288777,0.283496,0.279922,0.359309,0.240952,0.319738,0.240601,0.305814,
37,0.308333,0.012083,0.288007,0.05429,-0.08068,0.562983,0.171177,0.342712,0.288466,0.283037,0.279882,0.358937,0.240557,0.319855,0.240338,0.305419,
38,0.316667,0.011924,0.287785,0.05409,-0.08052,0.562827,0.17108,0.342755,0.288173,0.282589,0.27984,0.358582,0.240176,0.319974,0.240089,0.305027,
39,0.325,0.011774,0.28757,0.05389,-0.080363,0.562673,0.170983,0.342801,0.287897,0.282152,0.279796,0.358241,0.239805,0.320093,0.239858,0.304645,
