Format Version,1.2,Take Name,dir_left_or_bottom_dx_lin,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-03-26 10.25.35.023 AM,Total Frames,1734,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,arm_shoulder,arm_shoulder,arm_shoulder,arm_hand,arm_hand,arm_hand,arm_elbow,arm_elbow,arm_elbow,arm_EE,arm_EE,arm_EE,arm_finger,arm_finger,arm_finger,Marker_119,Marker_119,Marker_119,Marker_125,Marker_125,Marker_125,Marker_123,Marker_123,Marker_123,Marker_129,Marker_129,Marker_129
,,"8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E35707D","8392B20CF49E35707D","8392B20CF49E35707D","8392B20CF49E35707B","8392B20CF49E35707B","8392B20CF49E35707B","8392B20CF49E357081","8392B20CF49E357081","8392B20CF49E357081"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.167379,0.207988,0.087758,0.321871,-0.229638,0.134476,0.149817,-0.044783,0.294971,0.329964,-0.252244,-0.007395,,,,,,,,,,,,,,,
1,0.016667,0.167582,0.207793,0.088497,0.321084,-0.230453,0.135241,0.151526,-0.044559,0.296163,0.328713,-0.254385,-0.006437,,,,,,,,,,,,,,,
2,0.033333,0.167963,0.207524,0.088975,0.320807,-0.231286,0.133915,0.154080,-0.044996,0.296418,0.327461,-0.255886,-0.007686,,,,,,,,,,,,,,,
3,0.050000,0.168687,0.207095,0.089069,0.320942,-0.231930,0.130689,0.157463,-0.045962,0.295823,0.326361,-0.256814,-0.010975,,,,,,,,,,,,,,,
4,0.066667,0.169644,0.206555,0.088683,0.321402,-0.232364,0.125783,0.161572,-0.047462,0.294225,0.325688,-0.257474,-0.015915,,,,,,,,,,,,,,,
5,0.083333,0.170814,0.206087,0.087873,0.322104,-0.232662,0.119381,0.166296,-0.049443,0.291548,0.325414,-0.257930,-0.022229,,,,,,,,,,,,,,,
6,0.100000,0.172188,0.205651,0.086627,0.323099,-0.232896,0.111591,0.171530,-0.051659,0.287967,0.325103,-0.257933,-0.030104,,,,,,,,,,,,,,,
7,0.116667,0.173724,0.205248,0.084918,0.324491,-0.233090,0.102458,0.177174,-0.054164,0.283445,0.324583,-0.257337,-0.039366,,,,,,,,,,,,,,,
8,0.133333,0.175470,0.204835,0.082706,0.325972,-0.233164,0.092210,0.183164,-0.056724,0.278203,0.324209,-0.256085,-0.049743,,,,,,,,,,,,,,,
9,0.150000,0.177305,0.204359,0.080099,0.327495,-0.232895,0.081149,0.189565,-0.059356,0.272317,0.324000,-0.254311,-0.061012,,,,,,,,,,,,,,,
10,0.166667,0.179132,0.203991,0.077206,0.328939,-0.232202,0.069431,0.196219,-0.062104,0.265756,0.324051,-0.252057,-0.072924,,,,,,,,,,,,,,,
11,0.183333,0.180945,0.203643,0.074088,0.330531,-0.231120,0.057142,0.203066,-0.064849,0.258674,0.323887,-0.249489,-0.085383,,,,,,,,,,,,,,,
12,0.200000,0.182754,0.203420,0.070788,0.332296,-0.229824,0.044309,0.209996,-0.067668,0.250962,0.323412,-0.246741,-0.098373,,,,,,,,,,,,,,,
13,0.216667,0.184625,0.203219,0.067408,0.334096,-0.228316,0.030658,0.216978,-0.070534,0.242661,0.322968,-0.243519,-0.111966,,,,,,,,,,,,,,,
14,0.233333,0.186591,0.202944,0.063778,0.335673,-0.226664,0.016777,0.223951,-0.073415,0.233795,0.322531,-0.239948,-0.125839,,,,,,,,,,,,,,,
15,0.250000,0.188709,0.202724,0.059756,0.337047,-0.224746,0.002575,0.230884,-0.076246,0.224361,0.322195,-0.236180,-0.140005,,,,,,,,,,,,,,,
16,0.266667,0.190860,0.202639,0.055444,0.338244,-0.222667,-0.011875,0.237657,-0.078957,0.214359,0.321796,-0.232163,-0.154403,,,,,,,,,,,,,,,
17,0.283333,0.192908,0.202696,0.051072,0.339292,-0.220566,-0.026593,0.244174,-0.081645,0.203833,0.321525,-0.227705,-0.169076,,,,,,,,,,,,,,,
18,0.300000,0.194792,0.202894,0.046638,0.340360,-0.218252,-0.041539,0.250444,-0.084339,0.192731,0.321195,-0.223034,-0.183926,,,,,,,,,,,,,,,
19,0.316667,0.196473,0.203325,0.042346,0.341476,-0.215878,-0.056853,0.256427,-0.086905,0.181114,0.321016,-0.218294,-0.199075,,,,,,,,,,,,,,,
20,0.333333,0.198036,0.203843,0.038077,0.342510,-0.213357,-0.072206,0.262084,-0.089401,0.168834,0.321112,-0.213502,-0.214340,,,,,,,,,,,,,,,
